iter	MultiClass
0	4.287001695
1	4.283323459
2	4.279189949
3	4.275838973
4	4.272414015
5	4.268901233
6	4.265260831
7	4.261563989
8	4.257982735
9	4.254678911
10	4.251095414
11	4.247664174
12	4.244165684
13	4.240462133
14	4.237075032
15	4.232748942
16	4.229221102
17	4.225692545
18	4.222152085
19	4.218597453
20	4.215092672
21	4.211617118
22	4.208165647
23	4.204564569
24	4.200765767
25	4.19739977
26	4.194012542
27	4.190047208
28	4.186744334
29	4.183420789
30	4.179995746
31	4.176638497
32	4.173160087
33	4.169629744
34	4.166080239
35	4.162821845
36	4.159483415
37	4.155873806
38	4.152457885
39	4.149138425
40	4.145728254
41	4.141913067
42	4.138343658
43	4.134903427
44	4.131328448
45	4.127796193
46	4.123084308
47	4.119298073
48	4.115692355
49	4.112358633
50	4.108992967
51	4.105575028
52	4.102108476
53	4.098662371
54	4.095065312
55	4.091345109
56	4.087973491
57	4.084259559
58	4.080972811
59	4.077746885
60	4.074246777
61	4.070869716
62	4.067594613
63	4.064018707
64	4.060443267
65	4.057264104
66	4.05380397
67	4.050003542
68	4.046395923
69	4.0427363
70	4.039291308
71	4.035794801
72	4.031803842
73	4.028375498
74	4.025104302
75	4.021697278
76	4.017795262
77	4.014226449
78	4.010386546
79	4.00711209
80	4.0035247
81	4.000258891
82	3.99695924
83	3.993674641
84	3.990258654
85	3.986951011
