iter	Passed	Remaining
0	204	204729
1	256	128058
2	296	98665
3	329	82091
4	338	67344
5	369	61203
6	393	55885
7	419	51991
8	442	48762
9	468	46384
10	493	44368
11	518	42669
12	541	41079
13	567	39999
14	591	38862
15	615	37857
16	642	37129
17	669	36511
18	697	36019
19	726	35586
20	753	35119
21	779	34637
22	794	33758
23	819	33327
24	846	33007
25	870	32605
26	892	32174
27	915	31785
28	942	31546
29	966	31247
30	990	30956
31	1012	30614
32	1039	30453
33	1070	30416
34	1100	30334
35	1130	30274
36	1157	30114
37	1190	30134
38	1218	30033
39	1242	29826
40	1266	29626
41	1290	29437
42	1316	29289
43	1351	29357
44	1379	29269
45	1413	29306
46	1441	29228
47	1463	29033
48	1487	28866
49	1512	28728
50	1542	28694
51	1573	28679
52	1596	28524
53	1620	28380
54	1651	28372
55	1676	28256
56	1702	28165
57	1726	28048
58	1752	27947
59	1776	27829
60	1798	27691
61	1823	27582
62	1849	27503
63	1873	27398
64	1898	27316
65	1921	27194
66	1945	27087
67	1968	26973
68	1991	26876
69	2015	26772
70	2042	26723
71	2067	26652
72	2093	26580
73	2123	26570
74	2158	26617
75	2199	26745
76	2233	26772
77	2265	26782
78	2296	26777
79	2328	26773
80	2357	26743
81	2384	26692
82	2411	26639
83	2437	26584
84	2460	26484
85	2483	26392
86	2509	26335
87	2533	26260
88	2564	26249
89	2600	26288
90	2641	26382
91	2681	26461
92	2712	26452
93	2752	26532
94	2781	26498
95	2817	26533
96	2851	26545
97	2892	26624
98	2923	26607
99	2948	26537
100	2978	26511
101	3004	26447
102	3029	26379
103	3052	26297
104	3076	26220
105	3101	26158
106	3128	26108
107	3153	26047
108	3179	25988
109	3203	25919
110	3226	25844
111	3256	25823
112	3284	25779
113	3316	25778
114	3341	25715
115	3367	25659
116	3391	25594
117	3423	25590
118	3449	25538
119	3477	25504
120	3505	25467
121	3531	25416
122	3555	25353
123	3585	25329
124	3608	25262
125	3633	25206
126	3661	25171
127	3691	25149
128	3723	25137
129	3748	25088
130	3773	25029
131	3803	25012
132	3839	25031
133	3867	24992
134	3895	24960
135	3923	24922
136	3949	24877
137	3973	24819
138	3997	24760
139	4021	24704
140	4045	24644
141	4070	24592
142	4095	24542
143	4119	24488
144	4149	24469
145	4179	24448
146	4205	24405
147	4229	24349
148	4253	24295
149	4278	24243
150	4304	24201
151	4326	24134
152	4348	24074
153	4374	24032
154	4402	24001
155	4436	24004
156	4463	23964
157	4493	23948
158	4526	23943
159	4560	23941
160	4588	23912
161	4611	23856
162	4635	23802
163	4660	23755
164	4684	23708
165	4708	23654
166	4733	23612
167	4757	23561
168	4782	23518
169	4807	23473
170	4835	23441
171	4859	23391
172	4882	23342
173	4907	23295
174	4931	23248
175	4955	23202
176	4979	23151
177	5002	23102
178	5028	23062
179	5061	23055
180	5091	23038
181	5121	23016
182	5157	23026
183	5188	23007
184	5216	22982
185	5241	22937
186	5266	22896
187	5292	22858
188	5318	22823
189	5349	22804
190	5374	22765
191	5398	22718
192	5422	22672
193	5449	22638
194	5474	22598
195	5508	22597
196	5544	22599
197	5584	22621
198	5614	22600
199	5646	22586
200	5675	22559
201	5707	22546
202	5732	22506
203	5764	22494
204	5793	22468
205	5824	22449
206	5852	22419
207	5878	22382
208	5902	22338
209	5929	22304
210	5961	22290
211	5987	22256
212	6011	22211
213	6035	22167
214	6065	22147
215	6091	22109
216	6116	22068
217	6147	22051
218	6174	22020
219	6199	21980
220	6224	21940
221	6249	21901
222	6279	21880
223	6306	21848
224	6332	21812
225	6356	21770
226	6382	21732
227	6408	21697
228	6431	21654
229	6455	21611
230	6479	21568
231	6503	21529
232	6533	21507
233	6565	21492
234	6594	21467
235	6625	21448
236	6650	21410
237	6681	21391
238	6712	21372
239	6746	21363
240	6773	21331
241	6798	21293
242	6824	21259
243	6847	21215
244	6875	21186
245	6903	21160
246	6933	21136
247	6956	21094
248	6983	21061
249	7006	21019
250	7031	20983
251	7063	20965
252	7096	20952
253	7123	20923
254	7148	20884
255	7172	20845
256	7198	20811
257	7222	20770
258	7247	20734
259	7274	20704
260	7303	20677
261	7330	20649
262	7355	20611
263	7385	20591
264	7411	20557
265	7435	20517
266	7460	20480
267	7484	20441
268	7509	20405
269	7534	20370
270	7562	20344
271	7587	20306
272	7610	20265
273	7632	20223
274	7656	20184
275	7680	20146
276	7703	20107
277	7727	20070
278	7753	20037
279	7779	20003
280	7806	19973
281	7839	19960
282	7875	19953
283	7905	19929
284	7933	19902
285	7969	19895
286	8003	19883
287	8028	19847
288	8056	19820
289	8088	19801
290	8122	19788
291	8153	19768
292	8177	19731
293	8200	19692
294	8224	19654
295	8247	19616
296	8277	19593
297	8302	19559
298	8327	19523
299	8351	19487
300	8375	19450
301	8399	19414
302	8423	19377
303	8448	19343
304	8480	19325
305	8512	19306
306	8539	19276
307	8569	19253
308	8596	19222
309	8619	19186
310	8643	19149
311	8667	19113
312	8690	19075
313	8715	19039
314	8738	19002
315	8762	18966
316	8787	18934
317	8812	18899
318	8835	18861
319	8861	18830
320	8885	18796
321	8909	18759
322	8934	18726
323	8957	18689
324	8979	18650
325	9004	18615
326	9027	18580
327	9051	18545
328	9074	18508
329	9098	18473
330	9123	18440
331	9147	18404
332	9199	18427
333	9237	18419
334	9259	18380
335	9282	18343
336	9308	18312
337	9333	18280
338	9358	18247
339	9383	18214
340	9408	18182
341	9435	18153
342	9459	18119
343	9484	18085
344	9507	18050
345	9531	18015
346	9559	17990
347	9593	17973
348	9619	17944
349	9645	17912
350	9679	17897
351	9707	17870
352	9744	17861
353	9771	17831
354	9798	17803
355	9823	17770
356	9847	17735
357	9870	17701
358	9896	17669
359	9922	17639
360	9948	17610
361	9972	17576
362	9998	17544
363	10028	17522
364	10060	17502
365	10095	17488
366	10127	17467
367	10156	17442
368	10185	17418
369	10218	17398
370	10252	17382
371	10279	17353
372	10305	17323
373	10336	17301
374	10373	17288
375	10409	17275
376	10443	17257
377	10478	17242
378	10510	17222
379	10537	17192
380	10561	17159
381	10586	17127
382	10611	17095
383	10635	17061
384	10662	17032
385	10685	16997
386	10710	16965
387	10735	16933
388	10761	16902
389	10787	16871
390	10809	16836
391	10833	16802
392	10855	16766
393	10879	16733
394	10909	16709
395	10947	16697
396	10989	16691
397	11018	16665
398	11046	16638
399	11072	16608
400	11098	16579
401	11123	16546
402	11147	16514
403	11172	16481
404	11197	16450
405	11221	16417
406	11246	16386
407	11275	16361
408	11300	16328
409	11325	16297
410	11355	16273
411	11381	16243
412	11405	16210
413	11429	16178
414	11455	16147
415	11483	16120
416	11518	16103
417	11544	16074
418	11571	16044
419	11595	16012
420	11627	15991
421	11653	15960
422	11676	15927
423	11699	15893
424	11723	15860
425	11749	15831
426	11772	15798
427	11798	15768
428	11823	15737
429	11848	15706
430	11881	15685
431	11911	15660
432	11935	15629
433	11960	15598
434	11986	15569
435	12010	15537
436	12033	15502
437	12056	15470
438	12081	15438
439	12104	15406
440	12130	15376
441	12153	15342
442	12175	15309
443	12197	15274
444	12221	15242
445	12244	15209
446	12273	15183
447	12308	15165
448	12334	15136
449	12361	15108
450	12386	15078
451	12413	15050
452	12436	15016
453	12461	14987
454	12485	14955
455	12510	14925
456	12534	14893
457	12559	14862
458	12584	14832
459	12608	14801
460	12633	14771
461	12658	14740
462	12683	14710
463	12710	14682
464	12736	14654
465	12763	14625
466	12790	14598
467	12816	14568
468	12842	14540
469	12865	14507
470	12889	14477
471	12912	14444
472	12943	14420
473	12969	14392
474	12994	14361
475	13017	14329
476	13044	14302
477	13071	14274
478	13094	14243
479	13119	14212
480	13145	14183
481	13171	14155
482	13196	14125
483	13221	14095
484	13248	14068
485	13279	14044
486	13304	14014
487	13333	13989
488	13357	13958
489	13381	13927
490	13404	13895
491	13427	13864
492	13450	13832
493	13474	13801
494	13499	13771
495	13522	13740
496	13548	13712
497	13571	13680
498	13596	13650
499	13620	13620
500	13646	13591
501	13670	13561
502	13695	13531
503	13720	13503
504	13744	13472
505	13769	13442
506	13794	13413
507	13819	13384
508	13843	13353
509	13866	13322
510	13891	13293
511	13916	13264
512	13940	13233
513	13965	13205
514	13989	13174
515	14014	13145
516	14039	13116
517	14064	13087
518	14088	13056
519	14112	13027
520	14139	12999
521	14165	12971
522	14191	12943
523	14215	12913
524	14238	12882
525	14260	12851
526	14286	12822
527	14323	12804
528	14359	12785
529	14392	12763
530	14428	12743
531	14457	12718
532	14487	12693
533	14515	12666
534	14539	12636
535	14565	12608
536	14588	12578
537	14614	12549
538	14640	12521
539	14663	12491
540	14686	12460
541	14713	12432
542	14745	12409
543	14773	12383
544	14801	12357
545	14829	12331
546	14857	12304
547	14886	12278
548	14922	12259
549	14965	12244
550	15001	12224
551	15032	12200
552	15062	12175
553	15087	12146
554	15114	12118
555	15139	12090
556	15167	12063
557	15190	12032
558	15215	12003
559	15240	11974
560	15272	11951
561	15297	11922
562	15320	11891
563	15346	11863
564	15369	11833
565	15399	11807
566	15427	11781
567	15461	11759
568	15489	11732
569	15513	11702
570	15540	11675
571	15574	11653
572	15599	11624
573	15630	11600
574	15665	11578
575	15692	11551
576	15728	11530
577	15763	11508
578	15790	11481
579	15821	11456
580	15850	11430
581	15874	11401
582	15899	11372
583	15923	11342
584	15953	11317
585	15986	11294
586	16019	11270
587	16058	11251
588	16093	11229
589	16128	11208
590	16155	11180
591	16179	11150
592	16203	11120
593	16227	11091
594	16250	11060
595	16273	11030
596	16296	11001
597	16320	10971
598	16346	10943
599	16371	10914
600	16397	10886
601	16420	10855
602	16445	10827
603	16468	10797
604	16494	10769
605	16527	10745
606	16559	10721
607	16583	10692
608	16606	10662
609	16632	10633
610	16662	10608
611	16694	10583
612	16719	10555
613	16743	10525
614	16766	10496
615	16790	10467
616	16815	10438
617	16840	10409
618	16863	10379
619	16888	10351
620	16912	10322
621	16936	10292
622	16960	10263
623	16984	10234
624	17010	10206
625	17034	10177
626	17059	10148
627	17085	10121
628	17110	10092
629	17134	10062
630	17159	10034
631	17183	10005
632	17207	9976
633	17231	9947
634	17256	9919
635	17280	9890
636	17305	9861
637	17333	9835
638	17358	9806
639	17383	9778
640	17407	9749
